transDate,close,high,low,open,volume,event
25/01/2017,10.2,10.2,10.2,10.2,0,
02/02/2017,10.2,10.2,10.2,10.2,0,
03/02/2017,10.2,10.2,10.2,10.2,0,
06/02/2017,10.2,10.2,10.2,10.2,0,
07/02/2017,10.2,10.2,10.2,10.2,0,
08/02/2017,10.2,10.2,10.2,10.2,0,
09/02/2017,10.2,10.2,10.2,10.2,0,
10/02/2017,10.2,10.2,10.2,10.2,0,
13/02/2017,10.2,10.2,10.2,10.2,0,
14/02/2017,10.2,10.2,10.2,10.2,0,
15/02/2017,10.2,10.2,10.2,10.2,0,
16/02/2017,10.2,10.2,10.2,10.2,0,
17/02/2017,10.2,10.2,10.2,10.2,0,
20/02/2017,10.2,10.2,10.2,10.2,0,
21/02/2017,10.2,10.2,10.2,10.2,0,
22/02/2017,10.2,10.2,10.2,10.2,0,
23/02/2017,10.2,10.2,10.2,10.2,0,
24/02/2017,10.2,10.2,10.2,10.2,0,
27/02/2017,10.2,10.2,10.2,10.2,0,
28/02/2017,10.2,10.2,10.2,10.2,0,
01/03/2017,10.2,10.2,10.2,10.2,0,
02/03/2017,10.2,10.2,10.2,10.2,0,
03/03/2017,10.2,10.2,10.2,10.2,0,
06/03/2017,10.2,10.2,10.2,10.2,0,
07/03/2017,10.2,10.2,10.2,10.2,0,
08/03/2017,10.2,10.2,10.2,10.2,0,
09/03/2017,10.2,10.2,10.2,10.2,0,
10/03/2017,10.2,10.2,10.2,10.2,0,
13/03/2017,10.2,10.2,10.2,10.2,0,
14/03/2017,10.2,10.2,10.2,10.2,0,DIVIDEND
15/03/2017,10.2,10.2,10.2,10.2,0,
16/03/2017,10.2,10.2,10.2,10.2,0,
17/03/2017,10.2,10.2,10.2,10.2,0,
20/03/2017,10.2,10.2,10.2,10.2,0,
21/03/2017,10.2,10.2,10.2,10.2,0,
22/03/2017,10.2,10.2,10.2,10.2,0,
23/03/2017,10.2,10.2,10.2,10.2,0,
24/03/2017,10.2,10.2,10.2,10.2,0,
27/03/2017,10.2,10.2,10.2,10.2,0,
28/03/2017,10.2,10.2,10.2,10.2,0,
29/03/2017,10.2,10.2,10.2,10.2,0,
30/03/2017,10.2,10.2,10.2,10.2,0,
31/03/2017,10.2,10.2,10.2,10.2,0,
03/04/2017,10.2,10.2,10.2,10.2,0,
04/04/2017,10.2,10.2,10.2,10.2,0,
05/04/2017,10.2,10.2,10.2,10.2,0,
07/04/2017,10.2,10.2,10.2,10.2,0,
10/04/2017,10.2,10.2,10.2,10.2,0,
11/04/2017,10.2,10.2,10.2,10.2,0,
12/04/2017,10.2,10.2,10.2,10.2,0,
13/04/2017,10.2,10.2,10.2,10.2,0,
14/04/2017,10.2,10.2,10.2,10.2,0,
17/04/2017,10.2,10.2,10.2,10.2,0,
18/04/2017,10.2,10.2,10.2,10.2,0,
19/04/2017,10.2,10.2,10.2,10.2,0,
20/04/2017,10.2,10.2,10.2,10.2,0,
21/04/2017,10.2,10.2,10.2,10.2,0,
24/04/2017,10.2,10.2,10.2,10.2,0,
25/04/2017,10.2,10.2,10.2,10.2,0,
26/04/2017,10.2,10.2,10.2,10.2,0,
27/04/2017,10.2,10.2,10.2,10.2,0,
28/04/2017,10.2,10.2,10.2,10.2,0,
03/05/2017,10.2,10.2,10.2,10.2,0,
04/05/2017,10.2,10.2,10.2,10.2,0,
05/05/2017,10.0,10.0,10.0,10.0,2800,
08/05/2017,10.0,10.0,10.0,10.0,500,
09/05/2017,10.0,10.0,10.0,10.0,0,
10/05/2017,10.0,10.0,10.0,10.0,0,
11/05/2017,10.0,10.0,10.0,10.0,0,
12/05/2017,10.0,10.0,10.0,10.0,0,
15/05/2017,10.0,10.0,10.0,10.0,0,
16/05/2017,10.0,10.0,10.0,10.0,0,
17/05/2017,10.0,10.0,10.0,10.0,0,
18/05/2017,10.0,10.0,10.0,10.0,400,
19/05/2017,10.0,10.0,10.0,10.0,800,
22/05/2017,10.0,10.0,10.0,10.0,0,
23/05/2017,10.0,10.0,10.0,10.0,0,
24/05/2017,10.0,10.0,10.0,10.0,400,
25/05/2017,10.0,10.0,10.0,10.0,0,
26/05/2017,10.0,10.0,10.0,10.0,0,
29/05/2017,10.0,10.0,10.0,10.0,0,
30/05/2017,10.0,10.0,10.0,10.0,0,
31/05/2017,10.0,10.0,10.0,10.0,0,
01/06/2017,10.0,10.0,10.0,10.0,0,
02/06/2017,10.0,10.0,10.0,10.0,0,
05/06/2017,10.0,10.0,10.0,10.0,0,
06/06/2017,10.0,10.0,10.0,10.0,0,
07/06/2017,10.0,10.0,10.0,10.0,0,
08/06/2017,10.0,10.0,10.0,10.0,0,
09/06/2017,10.0,10.0,10.0,10.0,0,
12/06/2017,10.0,10.0,10.0,10.0,0,
13/06/2017,10.0,10.0,10.0,10.0,0,
14/06/2017,10.0,10.0,10.0,10.0,0,
15/06/2017,10.0,10.0,10.0,10.0,0,
16/06/2017,10.0,10.0,10.0,10.0,0,
19/06/2017,10.0,10.0,10.0,10.0,0,
20/06/2017,10.0,10.0,10.0,10.0,0,
21/06/2017,10.0,10.0,10.0,10.0,0,
