transDate,close,high,low,open,volume,event
12/08/2015,5.0,5.0,5.0,5.0,100,
13/08/2015,5.0,5.0,5.0,5.0,0,
14/08/2015,5.0,5.0,5.0,5.0,0,
17/08/2015,5.0,5.0,5.0,5.0,0,
18/08/2015,5.0,5.0,5.0,5.0,0,
19/08/2015,5.0,5.0,5.0,5.0,0,
20/08/2015,5.0,5.0,5.0,5.0,0,
21/08/2015,5.0,5.0,5.0,5.0,0,
24/08/2015,5.0,5.0,5.0,5.0,0,
25/08/2015,5.0,5.0,5.0,5.0,0,
26/08/2015,5.0,5.0,5.0,5.0,0,
27/08/2015,5.0,5.0,5.0,5.0,0,
28/08/2015,5.0,5.0,5.0,5.0,0,
31/08/2015,5.0,5.0,5.0,5.0,0,
01/09/2015,5.0,5.0,5.0,5.0,0,
03/09/2015,5.0,5.0,5.0,5.0,0,
04/09/2015,5.0,5.0,5.0,5.0,0,
07/09/2015,5.0,5.0,5.0,5.0,0,
08/09/2015,5.0,5.0,5.0,5.0,0,
09/09/2015,5.0,5.0,5.0,5.0,0,
10/09/2015,5.0,5.0,5.0,5.0,0,
11/09/2015,5.0,5.0,5.0,5.0,0,
14/09/2015,5.0,5.0,5.0,5.0,0,
15/09/2015,5.0,5.0,5.0,5.0,0,
16/09/2015,5.0,5.0,5.0,5.0,0,
17/09/2015,5.0,5.0,5.0,5.0,0,
18/09/2015,5.0,5.0,5.0,5.0,0,
21/09/2015,5.0,5.0,5.0,5.0,0,
22/09/2015,5.0,5.0,5.0,5.0,0,
23/09/2015,5.0,5.0,5.0,5.0,0,
24/09/2015,5.0,5.0,5.0,5.0,0,
25/09/2015,5.0,5.0,5.0,5.0,0,
28/09/2015,5.0,5.0,5.0,5.0,0,
29/09/2015,5.0,5.0,5.0,5.0,0,
30/09/2015,5.0,5.0,5.0,5.0,0,
01/10/2015,5.0,5.0,5.0,5.0,0,
02/10/2015,5.0,5.0,5.0,5.0,0,
05/10/2015,5.0,5.0,5.0,5.0,0,
06/10/2015,5.0,5.0,5.0,5.0,0,
07/10/2015,5.0,5.0,5.0,5.0,0,
08/10/2015,5.0,5.0,5.0,5.0,0,
09/10/2015,5.0,5.0,5.0,5.0,0,
12/10/2015,5.0,5.0,5.0,5.0,0,
13/10/2015,5.0,5.0,5.0,5.0,0,
14/10/2015,5.0,5.0,5.0,5.0,0,
15/10/2015,5.0,5.0,5.0,5.0,0,
16/10/2015,5.0,5.0,5.0,5.0,0,
19/10/2015,5.0,5.0,5.0,5.0,0,
20/10/2015,5.0,5.0,5.0,5.0,0,
21/10/2015,5.0,5.0,5.0,5.0,0,
22/10/2015,5.0,5.0,5.0,5.0,0,
23/10/2015,5.0,5.0,5.0,5.0,0,
26/10/2015,5.0,5.0,5.0,5.0,0,
27/10/2015,5.0,5.0,5.0,5.0,0,
28/10/2015,5.0,5.0,5.0,5.0,0,
29/10/2015,5.0,5.0,5.0,5.0,0,
30/10/2015,5.0,5.0,5.0,5.0,0,
02/11/2015,5.0,5.0,5.0,5.0,0,
03/11/2015,5.0,5.0,5.0,5.0,0,
04/11/2015,5.0,5.0,5.0,5.0,0,
05/11/2015,5.0,5.0,5.0,5.0,0,
06/11/2015,5.0,5.0,5.0,5.0,0,
09/11/2015,5.0,5.0,5.0,5.0,0,
10/11/2015,5.0,5.0,5.0,5.0,0,
11/11/2015,5.0,5.0,5.0,5.0,0,
12/11/2015,5.0,5.0,5.0,5.0,0,
13/11/2015,5.0,5.0,5.0,5.0,0,
16/11/2015,5.0,5.0,5.0,5.0,0,
17/11/2015,5.0,5.0,5.0,5.0,0,
18/11/2015,5.0,5.0,5.0,5.0,0,
19/11/2015,5.0,5.0,5.0,5.0,0,
20/11/2015,5.0,5.0,5.0,5.0,0,
23/11/2015,5.0,5.0,5.0,5.0,0,
24/11/2015,5.0,5.0,5.0,5.0,0,
25/11/2015,5.0,5.0,5.0,5.0,0,
26/11/2015,5.0,5.0,5.0,5.0,0,
27/11/2015,5.0,5.0,5.0,5.0,0,
30/11/2015,5.0,5.0,5.0,5.0,0,
01/12/2015,5.0,5.0,5.0,5.0,0,
02/12/2015,5.0,5.0,5.0,5.0,0,
03/12/2015,5.0,5.0,5.0,5.0,0,
04/12/2015,5.0,5.0,5.0,5.0,0,
07/12/2015,5.0,5.0,5.0,5.0,0,
08/12/2015,5.0,5.0,5.0,5.0,0,
09/12/2015,5.0,5.0,5.0,5.0,0,
10/12/2015,5.0,5.0,5.0,5.0,0,
11/12/2015,5.0,5.0,5.0,5.0,0,
14/12/2015,5.0,5.0,5.0,5.0,0,
15/12/2015,5.0,5.0,5.0,5.0,0,
16/12/2015,5.0,5.0,5.0,5.0,0,
